                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.30428,                0.33983,                0.38757,                0.92707,                0.99207,                      1,                  0.995,                0.96787,                0.99207,                      1,                  0.995,                0.97337,                 0.2588,                0.29469,                0.25846,                0.97627,             0.00021471,             0.00021471,             0.00021471
                     90,                0.30471,                0.35568,                0.35529,                0.92484,                0.99214,                      1,                  0.995,                0.95207,                0.99214,                      1,                  0.995,                0.95867,                0.25946,                0.28829,                0.26786,                0.97261,             0.00019821,             0.00019821,             0.00019821
                     91,                0.21824,                0.23908,                0.56826,                0.87324,                0.99217,                      1,                  0.995,                0.95207,                0.99217,                      1,                  0.995,                0.95867,                0.25883,                0.28702,                0.26155,                0.97095,              0.0001817,              0.0001817,              0.0001817
                     92,                0.19475,                0.22896,                0.46773,                  0.831,                0.99242,                      1,                  0.995,                 0.9762,                0.99242,                      1,                  0.995,                  0.995,                0.24749,                0.28652,                0.30658,                0.95777,              0.0001652,              0.0001652,              0.0001652
                     93,                0.17664,                 0.2362,                0.41104,                0.85876,                0.99249,                      1,                  0.995,                 0.9762,                0.99249,                      1,                  0.995,                  0.995,                0.24183,                0.28822,                0.32325,                0.95433,              0.0001487,              0.0001487,              0.0001487
                     94,                  0.181,                0.21634,                0.41358,                0.83318,                0.99237,                      1,                  0.995,                0.97337,                0.99237,                      1,                  0.995,                  0.995,                0.23849,                0.29236,                0.33099,                0.95126,             0.00013219,             0.00013219,             0.00013219
                     95,                0.18817,                0.23575,                 0.4339,                 0.8385,                0.99241,                      1,                  0.995,                0.97337,                0.99241,                      1,                  0.995,                 0.9707,                 0.2322,                  0.297,                0.32498,                0.94577,             0.00011569,             0.00011569,             0.00011569
                     96,                0.18152,                0.21622,                0.42423,                 0.8372,                0.99243,                      1,                  0.995,                0.97337,                0.99243,                      1,                  0.995,                 0.9707,                0.22076,                0.31139,                0.33037,                0.93626,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.18781,                 0.2292,                0.41795,                0.87313,                 0.9926,                      1,                  0.995,                 0.9762,                 0.9926,                      1,                  0.995,                 0.9707,                0.22171,                0.31915,                0.32647,                0.93733,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.17278,                0.21936,                0.40104,                0.85098,                0.99264,                      1,                  0.995,                 0.9762,                0.99264,                      1,                  0.995,                 0.9707,                0.22503,                0.32031,                0.31338,                0.94311,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.17777,                0.20379,                 0.4053,                0.84786,                0.99259,                      1,                  0.995,                 0.9762,                0.99259,                      1,                  0.995,                 0.9707,                0.22376,                0.32037,                0.30794,                0.94267,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.18222,                0.23166,                0.41168,                0.85166,                0.99258,                      1,                  0.995,                0.97337,                0.99258,                      1,                  0.995,                 0.9707,                0.21801,                0.33004,                0.30706,                0.94163,             3.3173e-05,             3.3173e-05,             3.3173e-05
